path	sentence	client_id
common_voice_ckb_30340452.mp3	بە هۆی مەترسیی نەیزەکەکانەوە	
common_voice_ckb_30340526.mp3	چونکە بەشەکانی جەستەی لەم بەشانە بههێزترە	
common_voice_ckb_30340533.mp3	گوتیشی کۆڤید لە وڵاتانی تریش هەیە	
common_voice_ckb_30340535.mp3	لەگەڵیدا بگونجێین	
common_voice_ckb_30340549.mp3	بۆشایی لە هەبوونی ڕێکخراوەیەکی سەربەخۆی کوردی	
common_voice_ckb_30340551.mp3	باش نەخەوتووم	
common_voice_ckb_30340570.mp3	بەهۆی هاوشێوەی جیۆلۆجییەوە	
common_voice_ckb_30340579.mp3	سەرپەرشتیاری پرۆژەکە وا دەڵێت	
common_voice_ckb_30340581.mp3	بەباشی دیاری کراون	
common_voice_ckb_30340592.mp3	دەتوانم شتێکت لێ بپرسم	
common_voice_ckb_30340643.mp3	تێیدا کەشتییەکی ئاسمانی دەفڕێت	
common_voice_ckb_30340810.mp3	هەرچەندە لە کاتی نزیکبوونەوەی کۆتایی گرفتێک لە پەیوەندیدا هەبوو	
common_voice_ckb_30340812.mp3	ئەوانەی ڤاکسینیان هەیەوە و هەڵیانگرتووە	
common_voice_ckb_30340813.mp3	بەهەمان شێوە پارێزراون	
common_voice_ckb_30350702.mp3	بەهەمان قەبارەی سروشتی دروست کراوە	
common_voice_ckb_30350703.mp3	تیمەکەی ڕۆشتوون مێژوو تۆمار دەکەن	
common_voice_ckb_30350704.mp3	کەژاڵ بەڕاستی زۆر جوانە	
common_voice_ckb_30350708.mp3	بیست و یەک کەم شەش یەکسانە بە پازدە	
common_voice_ckb_30350724.mp3	خەریکە کاتمان نامێنێت	
common_voice_ckb_30350739.mp3	هەروەها ئاماژە بەوەش دەکات	
common_voice_ckb_30350741.mp3	پارەکەمان بۆ دروستکردنی مزگەوت بەکار هێنا	
common_voice_ckb_30350742.mp3	بەسەر منداڵەکانم هاوار دەکەم	
common_voice_ckb_30350755.mp3	تۆ فەزای شەخسیی من داگیر دەکەیت	
common_voice_ckb_30350781.mp3	زانست چەندین لقی هەیە	
common_voice_ckb_30350794.mp3	چۆن ئەم کێشەیە چارەسەر بکەم	
common_voice_ckb_30350796.mp3	ئەوە ئامانجی ئێمە بوو	
common_voice_ckb_30350807.mp3	فراکسیۆنەکەیان ئەو قسە نەشیاوانە بە بوختان دادەنێت	
common_voice_ckb_30350808.mp3	گەندەڵی هەڵەیە	
common_voice_ckb_30350811.mp3	ئاستی زانستی مرۆڤ بۆ ڕووبەڕووبوونەوەی تەنە ئاسمانییەکان	
common_voice_ckb_30350818.mp3	هیچ کام لە کێکەکانم بەدڵ نییە	
common_voice_ckb_30350820.mp3	ڤیان نانی ئێوارەی تەواو نەکرد	
common_voice_ckb_30350871.mp3	دەم ویست تەماشای فیلمێک بکەم	
common_voice_ckb_30350879.mp3	کەس داوای لەو نەکرد	
common_voice_ckb_30350884.mp3	هەرزەکاران زۆر حەزیان لە یاریی ڤیدیۆیییە	
common_voice_ckb_30350892.mp3	بۆ دۆزینەوەکانیان دەربارەی هەستیاریی گەرما و بەرکەوتن	
common_voice_ckb_30350893.mp3	کێشەی خەوتنت هەیە لە شەودا	
common_voice_ckb_30350896.mp3	عادەتەن شەکر ناخەمە نێو چایەکەمەوە	
common_voice_ckb_30354813.mp3	ئەم ئەنگوستیلەیەی لەکوێ دۆزییەوە	
common_voice_ckb_30354814.mp3	ئێمە هەموو دڵخۆشین و بەجۆشین	
common_voice_ckb_30354822.mp3	دەتوانم هەوڵ بدەم	
common_voice_ckb_30354826.mp3	چ کاتێک تەزووی هەستیار کار دەکا	
common_voice_ckb_30354840.mp3	یەکێک هاواری کرد	
common_voice_ckb_30354841.mp3	وەک لەم وتووێژەش کە لەگەڵ پەرلەمانتارێک کراوە	
common_voice_ckb_30378560.mp3	دڵنیام کە لە تاقیکردنەوەکە دەردەچم	
common_voice_ckb_30378561.mp3	کاروان تەواوی ڕۆژ لە ژوورەکەی دانیشتووە و هیچ شتێک ئەنجام نادات	
common_voice_ckb_30378584.mp3	نامەوێت پێم پێبکەنیت	
common_voice_ckb_30378603.mp3	پێنج سەد و پەنجا و هەشت	
common_voice_ckb_30378604.mp3	نەیزەکەکە لەو ناوچەیە کەوتۆتە خوارەوە کە ئێستا بە مەکسیک ناسراوە	
common_voice_ckb_30378606.mp3	لە بەرنامەم نییە چیتر ئەوە بکەم	
common_voice_ckb_30378612.mp3	باوک دەیەوێت بمکات بە دکتۆر	
common_voice_ckb_30378615.mp3	زۆر دڵنیام عەبدولستار ڕاستییەکە دەڵێت	
common_voice_ckb_30378617.mp3	هیوادارم کە دیلان بەم زووانە بگات	
common_voice_ckb_30378618.mp3	کە گیانیان لەدەست دا	
common_voice_ckb_30378653.mp3	ئایا جددییە	
common_voice_ckb_30378654.mp3	کارەکەمانیان پێ جوان بوو	
common_voice_ckb_30378656.mp3	هەمیشە لە کاتژمێر حەوت لە ماڵ دەردەچێت	
common_voice_ckb_30378693.mp3	سەلمان کۆتاییی هەفتەی لە شوێنەکەی ئێمە بەسەر برد	
common_voice_ckb_30378697.mp3	دەتوانیت گڵۆپەکە بکوژێنیتەوە	
common_voice_ckb_30378699.mp3	بنەماڵەکە لە مردنی منداڵەکە ئاگادار کراونەتەوە	
common_voice_ckb_30378737.mp3	گەلێک بیرت دەکەم	
common_voice_ckb_30378762.mp3	هەڵبەت هۆکاری تریش هەن بۆ کۆچکردن	
common_voice_ckb_30378763.mp3	نامەوێت ئەم شەوە کۆتایی بێت	
common_voice_ckb_30384823.mp3	ئەم کاتژمێرە گرانە	
common_voice_ckb_30384824.mp3	وا خۆی نیشان دەدا کە خەوی لێ کەوتووە	
common_voice_ckb_30384825.mp3	سادق ئەو کەسە بوو کە پێشنیاری کرد	
common_voice_ckb_30384826.mp3	ئەوە ئامانجم بوو	
common_voice_ckb_30387138.mp3	پێویست ناکات وەڵامی ئەو پرسیارە بدەیتەوە	
common_voice_ckb_30387139.mp3	پێم وابوو دەیانناسمەوە	
common_voice_ckb_30387141.mp3	ئەو خوێندکارانە خێرا تێدەگەن	
common_voice_ckb_30387142.mp3	زەکەریا حەزی لە کۆمەڵایەتیبوون نییە	
common_voice_ckb_30387143.mp3	ئەوان موسڵمانن	
common_voice_ckb_30387145.mp3	شتی وا لە تاریخی مرۆڤایەتی نەبووە	
common_voice_ckb_30387146.mp3	پێم پەسەندترە لە ماڵەوە بمێنمەوە نەک بچمە گەشتی قوتابخانە	
common_voice_ckb_30387149.mp3	وامزانی ناسیتەوە	
common_voice_ckb_30387150.mp3	ڤیان سەردانی مامی دەکات لە مەریوان	
common_voice_ckb_30387152.mp3	حەزت لە ژاپۆنییە یان ئینگلیزی	
common_voice_ckb_30387153.mp3	ئۆتۆمۆبیلەکەت دەشۆم	
common_voice_ckb_30387155.mp3	لە ئەنجامی شەڕەکەدا چەندین کەس گیانیان لەدەستدا	
common_voice_ckb_30387156.mp3	نەمانتوانیوە بیسەلمێنین	
common_voice_ckb_30387157.mp3	زوو چووینە قوتابخانە	
common_voice_ckb_30387159.mp3	قوتابییەکانی زۆر دەخوێنن	
common_voice_ckb_30387160.mp3	هەوڵ بدە ئازارەکە پشتگوێ بخەیت	
common_voice_ckb_30387164.mp3	چیرۆکێکم بۆ باس بکە کە کۆتایییەکەی خۆش بێت	
common_voice_ckb_30387165.mp3	وا دابنێین چیرۆکەکەت ڕاستە پێویستە چی بکەم	
common_voice_ckb_30387166.mp3	داوای یارمەتیی لەو کرد	
common_voice_ckb_30387169.mp3	سەرچڵ نەیویست چاوی پێت بکەوێت	
common_voice_ckb_30387170.mp3	ئاگری لە ماڵەکەی بەردا	
common_voice_ckb_30392958.mp3	بۆ لات گرنگ نییە	
common_voice_ckb_30392961.mp3	پێم وابوو حەزت لێیانە	
common_voice_ckb_30392967.mp3	لێرە لەگەڵ ئێمە بن	
common_voice_ckb_30392969.mp3	ژیان بەم شێوەیەیە لە غەزە	
common_voice_ckb_30392971.mp3	وێنەیەکی داپیرم بە دیوارەکە هەڵدەواسم	
common_voice_ckb_30392972.mp3	بلۆگەرم	
common_voice_ckb_30392973.mp3	زۆر دڵخۆشە کە تیپەکەی براوە بوو	
common_voice_ckb_30392974.mp3	شارەزای بواری ئابوورناسییە	
common_voice_ckb_30392976.mp3	کۆمپانیاکە پارەیەکی زۆری لەم پرۆژەیە وەبەرهێنا	
common_voice_ckb_30392991.mp3	ئەمن چەند ساڵە بەتەمام باخچەیەک دروست بکەم	
common_voice_ckb_30392994.mp3	ئەم سووپە زۆر سوێرە	
common_voice_ckb_30392996.mp3	لە بەرنامەی ئەم هەفتەیە	
common_voice_ckb_30392997.mp3	ئەگەر قاوەکەت زۆر بههێزە بڕێک شەکری تێ بکە	
common_voice_ckb_30392998.mp3	ئەو لەگەڵ براکەی هات	
common_voice_ckb_30392999.mp3	خەمی ئەو ئازیزانەش کە لەدەستیان دان	
common_voice_ckb_30393006.mp3	لەو ماوە دیاریکراوەی کە دانراوە نزیکەی چوار هەفتەیە	
common_voice_ckb_30393008.mp3	سێ مانگای هەیە	
common_voice_ckb_30399782.mp3	سێ بلیۆن چوار بلیۆن شەش بلیۆن هەشت بلیۆن	
common_voice_ckb_30399783.mp3	تۆ دەزانیت من مەبەستم ئەوە نەبوو	
common_voice_ckb_30399784.mp3	دەزانم حەزت لەو نییە	
common_voice_ckb_30399785.mp3	هیوادارم بەدڵتان بێت	
common_voice_ckb_30399787.mp3	داوایان لە هاوڵاتیان کرد بەدەم تیمەکانەوە بچن	
common_voice_ckb_30399788.mp3	سارا ئەم سەرپۆشەی چنیوە	
common_voice_ckb_30399789.mp3	زەماوەندی کوردی	
common_voice_ckb_30399790.mp3	چین یەکێکە لە گەورەترین هاوبەشە بازرگانییەکانی عێراق	
common_voice_ckb_30399791.mp3	پێی گوتم کە حاڵی خراپە	
common_voice_ckb_30399797.mp3	مامۆستای فەڕەنسیم بەدڵ بوو	
common_voice_ckb_30399798.mp3	گوتی کە دڵنیا نییە	
common_voice_ckb_30399799.mp3	ئەمە چەتری کێیە	
common_voice_ckb_30399800.mp3	بریکاری وەزارەتی پەروەردە	
common_voice_ckb_30399801.mp3	ئەوەی گوتت هیچ مانایەکی نییە	
common_voice_ckb_30399802.mp3	وێنەیەکی جوان نییە	
common_voice_ckb_30399803.mp3	سڵاویان لە هەمووان کرد کە بینییان	
common_voice_ckb_30399804.mp3	ئێستا کاتژمێر شەش و چارەگە	
common_voice_ckb_30399805.mp3	ویستت باسی ئازادیم بۆ بکەیت	
common_voice_ckb_30399806.mp3	هیچ دۆستێکمان نییە جگە لە چیاکانمان	
common_voice_ckb_30399812.mp3	دەتوانیت پەستانی تایەکە بپشکنیت	
common_voice_ckb_30399813.mp3	چ لەو هەموو مەرەکەب و	
common_voice_ckb_30399814.mp3	ئێمە چی دەخۆینەوە	
common_voice_ckb_30399815.mp3	کەسێک پەنجەرەکان دابخات	
common_voice_ckb_30399816.mp3	تکایە وێنەی خۆتم پیشان بدە	
common_voice_ckb_30399817.mp3	لەیلا کارێکی باشی دەویست	
common_voice_ckb_30399818.mp3	ئەسپەکەم سپییە	
common_voice_ckb_30399819.mp3	سەد و بیست وەرەقە	
common_voice_ckb_30399820.mp3	لە چ کاتێک چاوت پێیان دەکەوێت	
common_voice_ckb_30399821.mp3	بۆچی ئەوەی کرد	
common_voice_ckb_30399827.mp3	پێویست ناکات خەمی لێ بخوات	
common_voice_ckb_30399829.mp3	حەوت پۆلیس کوژران	
common_voice_ckb_30399831.mp3	جزدانەکەم بدەنەوە	
common_voice_ckb_30399834.mp3	هێشتا بەناوبانگ نیم	
common_voice_ckb_30399835.mp3	مههێڵن کەسی دیکە ئەم بەڵگەنامەیە بخوێنێتەوە	
common_voice_ckb_30399837.mp3	چوار وەرزی ساڵ لە چیایە	
common_voice_ckb_30399838.mp3	سۆران یەکێکە لە قەزاکانی هەولێر	
common_voice_ckb_30399839.mp3	دایکی بارام کولێرەیەکی لە تەندوور دەرهێنا	
common_voice_ckb_30399842.mp3	ئەوە بەئاشکرا دیار بوو هەڵەیە	
common_voice_ckb_30399843.mp3	هەژار ویستی منداڵەکانی ببینێت	
common_voice_ckb_30399844.mp3	شەریف ناتوانێت گۆرانی بڵێت کاتێک دەخوات	
common_voice_ckb_30399845.mp3	بەنێوان کەلێنە تەنگەکانی ئەشکەوتەکە	
common_voice_ckb_30399846.mp3	بە کوردی قسە دەکات	
common_voice_ckb_30402765.mp3	چالاک لای سارای گرت	
common_voice_ckb_30402766.mp3	عادەتەن بەر لە کاتژمێر حەوت نانی بەیانی دەخۆیت	
common_voice_ckb_30402767.mp3	تا ئێستا هەوڵت داوە سەرت بتاشیت	
common_voice_ckb_30402768.mp3	خۆر ئاوا بوو بۆیە وازیان لە کار هێنا	
common_voice_ckb_30402769.mp3	کچی خۆم یەک بە یەکیان	
common_voice_ckb_30402770.mp3	ئەو ئاشنایی لەگەڵ کۆمپیوتەرەکان هەیە	
common_voice_ckb_30402771.mp3	پێویستە ئەو چرایە بکڕین	
common_voice_ckb_30402772.mp3	ژوورەکەی خۆم دەناسم	
common_voice_ckb_30402773.mp3	ئەندازیاریی شارستانی	
common_voice_ckb_30402774.mp3	ئەوانە ئەو پرسیارانەن کە پێویستە وەڵامیان بدەینەوە	
common_voice_ckb_30402775.mp3	پێرێ چوومە لای دختۆر ئەحمەد هەندێک دەرمانی پێ دام	
common_voice_ckb_30402776.mp3	ئەو لەگەڵ من باش بوو	
common_voice_ckb_30402777.mp3	زۆر گەرمە بۆ ئێمە کار بکەین	
common_voice_ckb_30402778.mp3	دڵنیا نیم پەرەگرافی کۆتایی پێویست بێت	
common_voice_ckb_30402785.mp3	واز لە قومارکردن بهێنن	
common_voice_ckb_30402787.mp3	هیوادارم ئێستا باشتر بیت	
common_voice_ckb_30402789.mp3	حەزم لە بیبەرە	
common_voice_ckb_30402791.mp3	ئەو کچە دەناسم کە دوێنێ قسەت لەگەڵ دەکرد	
common_voice_ckb_30402793.mp3	پەنجا هەزار تومەن	
common_voice_ckb_30402800.mp3	دەبێت هەوڵبدەم باشتر بکەم لە ئایندە	
common_voice_ckb_30402801.mp3	دەزانیت ماسی بگریت	
common_voice_ckb_30402808.mp3	بە یەک باس و یەک فڕۆکە	
common_voice_ckb_30402809.mp3	بیناکە هێشتا چۆڵ نەکراوە	
common_voice_ckb_30402810.mp3	هاتە ئێرە پێش ئەوەی قوتابخانە تەواو بێت	
common_voice_ckb_30402811.mp3	دەمزانی کێ کردوویەتی	
common_voice_ckb_30402813.mp3	سیستەمەکە باش کاری کرد	
common_voice_ckb_30402843.mp3	تکایە گڵۆپەکە بکوژێنەوە کاتێک ژوورەکەت بەجێهێشت	
common_voice_ckb_30402844.mp3	ئەییووب زۆر لە کچی نازەنین گەورەتر نییە	
common_voice_ckb_30402845.mp3	داوای لێ کردین بێدەنگ بین	
common_voice_ckb_30402846.mp3	لەکوێوە دەست پێ بکەین	
common_voice_ckb_30406054.mp3	هەموو کەسێک حەزی لە سەگ نییە	
common_voice_ckb_30406055.mp3	کەی دەتەوێت ئەوان ببینیت	
common_voice_ckb_30406056.mp3	مەحاڵ نییە	
common_voice_ckb_30406057.mp3	ئەوە گەمژەترین شتە کە تا ئێستا بیستبێتم	
common_voice_ckb_30406058.mp3	ئێمە ناتوانین هیچ ببینین	
common_voice_ckb_30406118.mp3	ئێرەیە من دەمەوێت تێیدا بژیم	
common_voice_ckb_30406120.mp3	هەستن بەرەو پێشەوە بڕۆن	
common_voice_ckb_30406121.mp3	گەورەترین ترست چییە	
common_voice_ckb_30406122.mp3	زۆر دڵخۆشە کە تیپەکەی بردیەوە	
common_voice_ckb_30412165.mp3	سەری ساڵی زایینی	
common_voice_ckb_30412166.mp3	بەرزکەرەوە هەیە	
common_voice_ckb_30412168.mp3	گۆرانییەکی خۆشەویستییە	
common_voice_ckb_30412170.mp3	تۆم پێمخۆشە کەسێک ببینیت	
common_voice_ckb_30412171.mp3	ئێوە کوردی دەزانن	
common_voice_ckb_30412173.mp3	هیچ کەس پرسیاری نەکرد	
common_voice_ckb_30412184.mp3	دوێنێ شەو کتێبێکم خوێندەوە	
common_voice_ckb_30412185.mp3	داوام لێ کرد کاغەزەکان واژۆ بکات	
common_voice_ckb_30412186.mp3	چی لێ دەنێیت	
common_voice_ckb_30412187.mp3	دەڵێت ەونەرمەندە	
common_voice_ckb_30412188.mp3	بە دەگمەن هەڵە دەکەم	
common_voice_ckb_30412194.mp3	من خۆشحاڵم کە هەموو شتێک باش ڕۆیشت	
common_voice_ckb_30412195.mp3	گوێ دەگریت	
common_voice_ckb_30412196.mp3	نەخۆشییەکەم دەمکوژێت	
common_voice_ckb_30412197.mp3	مەبەستمان ئازاردانی نەبوو	
common_voice_ckb_30412198.mp3	گەر ویستبم	
common_voice_ckb_30412199.mp3	هەموو خەڵک حەزیان لە سەگ نییە	
common_voice_ckb_30412200.mp3	دڵبەند هۆیەکەی دەزانێت	
common_voice_ckb_30412201.mp3	شەکر باشە بۆ ئێوە	
common_voice_ckb_30412202.mp3	کەریم نایەوێت ئێستا فراوین بخوات	
common_voice_ckb_30412209.mp3	ئێستا دەتوانن چاوەکانتان بکەنەوە	
common_voice_ckb_30412210.mp3	بە محەممەد بڵێ ئامادەین بۆ ڕۆیشتن	
common_voice_ckb_30412211.mp3	شێرزاد و لەیلا هیچ قسەیەکیان نەکرد	
common_voice_ckb_30412212.mp3	پێم وایە خەریکە هەڵەیەکی گەورە دەکەیت	
common_voice_ckb_30412213.mp3	ناتوانیت لە خوێندنگە فێری ئەوە ببیت	
common_voice_ckb_30419549.mp3	گوتی کە هیچ وردەکارییەکی زیاتری لەلا نییە	
common_voice_ckb_30419550.mp3	عەبدوڵڵا لە ئێمە تووڕە نەبوو	
common_voice_ckb_30419551.mp3	ئومێد گوتی کە سبەی یارمەتیمان دەدات	
common_voice_ckb_30454114.mp3	توانیومە یارمەتی بدەم	
common_voice_ckb_30454115.mp3	سەرۆکی حکوومەت لەگەڵ ژمارەیەک خوێندکار کۆبوویەوە	
common_voice_ckb_30454116.mp3	تیرۆریستانی داعش	
common_voice_ckb_30454117.mp3	ئۆتۆمۆبیلەکە بە شێوەیەکی سەیر هەڵسوکەوت دەکات	
common_voice_ckb_30454118.mp3	نازانم ئەوە چەند کاتی دەوێت	
common_voice_ckb_30454119.mp3	زۆر شتم ماوە بیکەم پێش ئەوەی بچمەوە ماڵێ	
common_voice_ckb_30454121.mp3	هەوڵێکی لەگەڵ دەدەین	
common_voice_ckb_30454123.mp3	باوە کە کە قوتابییان بەبێ خواردنی نانی بەیانی بچنە قوتابخانە	
common_voice_ckb_30454125.mp3	هەر خەرێکن لەسەرەوە بۆ خوارە کۆمەلگا بگۆرن	
common_voice_ckb_30454126.mp3	ئەگەر ئەوە نەکەم کە ئەوان دەیڵێن دەمکوژن	
common_voice_ckb_30454127.mp3	کابرا گرافیک دیزاینەرە شارەزای فۆتۆشۆپ و ئیلسترەیتەرە	
common_voice_ckb_30454128.mp3	بەزۆری هەوڵدەدەم نانی نیوەڕۆی تەندروست بخۆم	
common_voice_ckb_30476712.mp3	لە هەندێک لە شار و شارۆچکەکان توندوتیژی لەنێوان خوێندکاران و هێزە ئەمنییەکان ڕووی دا	
common_voice_ckb_30476713.mp3	ئەم هەوڵە بۆ بوژاندنەوە و بە زیندوو هێشتنەوە بەردەوامە	
common_voice_ckb_30476730.mp3	حوسێن چەند جار هاوسەرگیریی کردووە	
common_voice_ckb_30476741.mp3	باوکم دەیگوت بخوێنە	
common_voice_ckb_30476754.mp3	بریکاری وەزارەتی پەروەردەی حکوومەتی هەرێمی کوردستان ئەوەشی گوت	
common_voice_ckb_30476762.mp3	زۆر سوپاس بۆ هەموو پاڵپشتییەک	
common_voice_ckb_30476763.mp3	سەعاتێک پێش ئێستا نانی ئێوارەم خوارد	
common_voice_ckb_30476764.mp3	زۆر وابەستەی دایک و باوکت مەبە	
common_voice_ckb_30476772.mp3	ئەگەر لە جێی تۆ بام دەچوومەوە ماڵێ	
common_voice_ckb_30476773.mp3	ئەو چەند جوانە	
common_voice_ckb_30476774.mp3	خێزانەکەم زۆر بەدینن	
common_voice_ckb_30481353.mp3	زۆر نائاسوودە بووم	
common_voice_ckb_30481354.mp3	هەوڵ نادەم کۆنتڕۆڵت بکەم	
common_voice_ckb_30481386.mp3	پاداشتی چاکە هەر چاکەیە	
common_voice_ckb_30481388.mp3	پێم وایە کە کاروان و مەریەم هەردووک هێشتا سەڵتن	
common_voice_ckb_30481409.mp3	داوێنپاکیی لەیلا یەکێک بوو لە گرنگترین شتەکان کە هەیبوو	
common_voice_ckb_30481429.mp3	پێشبینی بکەن دوێنێ شەو چیم کردووە	
common_voice_ckb_30481432.mp3	هەروەها وتی ئەمە وەک وەبیرهێنانەوەیەکە	
common_voice_ckb_30481442.mp3	وەک پرۆفیسۆری یاریدەدەر لە زانکۆی ویلایەتی مۆنتانا کاری دەکرد	
common_voice_ckb_30481445.mp3	هیچ ئامرازێک پێویست نییە	
common_voice_ckb_30481467.mp3	ویلایەتی موسڵ خرایە پاڵ عێراق کە دەوڵەتێک بوو تازە دروست بوو بوو	
common_voice_ckb_30489813.mp3	چونکە ئەو ئامێرەش خودی ئاگرەکە دەرناخات	
common_voice_ckb_30489834.mp3	خەمتان نەبێت ئەم جارە شکست ناهێنین	
common_voice_ckb_30489838.mp3	بەرنامەکە توانای دیاریکردنی پەیوەندی نزیک بەبەکارهێنانی زانیاری چاودێری نەخۆش و مەترسیەکی زۆری هەوکردنەکەی هەیە	
common_voice_ckb_30514522.mp3	هیچ دەرکەوتنێک نیە لە وەرزێکی تایبەتی ئاوهەوای ئاساییدا	
common_voice_ckb_30514546.mp3	بەخێربێن بۆ کنتاکی	
common_voice_ckb_30514548.mp3	ناهێڵێ بچمە دەرێ	
common_voice_ckb_30514560.mp3	بۆچی کەسێک یارمەتیی ئەوانی نەدا	
common_voice_ckb_30514571.mp3	دوابەدوای ئەوە خوێندنی ناوەندی و دواناوەندی هەر لە هەولێر تەواو دەکا	
common_voice_ckb_30514573.mp3	لە دەمی ئەشکەوتەکە پرۆفیسۆرەکە کەللەسەرێکی پێ بوو	
common_voice_ckb_30514575.mp3	بەڵام دەبێت پزیشکانی میسری گوێ لە خانمان بگرن تا بزانن چییان دەوێت	
common_voice_ckb_30514585.mp3	بانگ ئەکەن لە یەکتری	
common_voice_ckb_30514592.mp3	کەپسوولێکی سپەیس ئێکس بە چوار ئاسمانگەڕەوە گەیشتە بنکەکە	
common_voice_ckb_30519834.mp3	قەتەر لەکوێیە	
common_voice_ckb_30519849.mp3	دەتوانرێ وەک ئەزموون	
common_voice_ckb_30519850.mp3	پێویستە لەم کەرتە ئیش بکەین بۆ سەرکەوتن	
common_voice_ckb_30519852.mp3	چارەسەرەکەی چییە	
common_voice_ckb_30519865.mp3	مامۆستاکە وەڵامەکانی دەداینەوە	
common_voice_ckb_30519877.mp3	لە بەیاننامەیەک قسەکانی سەرۆکی ئیدانە کرد	
common_voice_ckb_30519878.mp3	وابزانم ئێوە دەزانن باسی کێ دەکەم	
common_voice_ckb_30556034.mp3	هەروەها دەمامک بە بڵاوی لە ژاپۆن کۆریای باشور مالیزیا و سەنگافورە بەکاردێت	
common_voice_ckb_30556035.mp3	باش دەرس دەخوێنێت	
common_voice_ckb_30556036.mp3	لیستێکی نەخۆشیە درم و پەتاکان  لیستێک لە مردووان بەهۆکاری نەخۆشی تایبەت	
